id,contract_id,task_name,description,created_by,deadline,completion_status,completed_on,assigned_to,created_at,updated_at
1,1,Review Product Brief,Review Product Brief related to the deliverables of the contract. Must be completed as part of promotional requirements.,10,2025-05-07,TRUE,2025-05-07,121,2025-04-10 12:23:55 UTC,2025-08-08 21:10:47 UTC
2,1,Send Brand Content,Send Brand Content related to the deliverables of the contract. Must be completed as part of promotional requirements.,10,2025-12-26,TRUE,2025-12-26,121,2025-12-17 13:46:44 UTC,2025-12-20 09:15:18 UTC
3,1,Upload Signed Documents,Upload Signed Documents related to the deliverables of the contract. Must be completed as part of promotional requirements.,10,2025-08-07,FALSE,,121,2025-07-20 00:58:41 UTC,2025-12-04 02:34:13 UTC
4,2,Tweet Brand Mention,Tweet Brand Mention related to the deliverables of the contract. Must be completed as part of promotional requirements.,15,2025-06-04,TRUE,2025-06-04,161,2025-05-11 07:19:04 UTC,2025-09-19 18:15:44 UTC
5,2,Tweet Brand Mention,Tweet Brand Mention related to the deliverables of the contract. Must be completed as part of promotional requirements.,15,2025-09-26,TRUE,2025-09-26,161,2025-09-14 15:22:17 UTC,2025-12-11 11:30:00 UTC
6,2,Attend Event,Attend Event related to the deliverables of the contract. Must be completed as part of promotional requirements.,15,2025-03-20,FALSE,,161,2025-03-04 10:27:12 UTC,2025-08-02 16:47:14 UTC
7,2,Send Brand Content,Send Brand Content related to the deliverables of the contract. Must be completed as part of promotional requirements.,15,2025-10-19,TRUE,2025-10-19,161,2025-10-03 21:07:36 UTC,2025-11-03 23:57:18 UTC
8,3,Create Unboxing Video,Create Unboxing Video related to the deliverables of the contract. Must be completed as part of promotional requirements.,66,2025-06-02,FALSE,,157,2025-05-18 11:55:53 UTC,2025-06-14 17:02:42 UTC
9,3,Join Zoom Training,Join Zoom Training related to the deliverables of the contract. Must be completed as part of promotional requirements.,66,2025-04-02,FALSE,,157,2025-03-08 02:16:57 UTC,2025-10-30 16:53:03 UTC
10,3,Upload Signed Documents,Upload Signed Documents related to the deliverables of the contract. Must be completed as part of promotional requirements.,66,2025-11-19,TRUE,2025-11-19,157,2025-11-09 11:20:38 UTC,2025-12-10 16:28:33 UTC
11,4,Tweet Brand Mention,Tweet Brand Mention related to the deliverables of the contract. Must be completed as part of promotional requirements.,48,2025-09-20,TRUE,2025-09-20,167,2025-08-26 21:36:24 UTC,2025-09-19 00:05:15 UTC
12,4,Create Unboxing Video,Create Unboxing Video related to the deliverables of the contract. Must be completed as part of promotional requirements.,48,2025-05-13,FALSE,,167,2025-04-29 10:37:36 UTC,2025-10-07 14:31:52 UTC
13,4,Join Zoom Training,Join Zoom Training related to the deliverables of the contract. Must be completed as part of promotional requirements.,48,2025-02-09,FALSE,,167,2025-01-16 20:36:31 UTC,2025-02-12 11:19:39 UTC
14,5,Upload Signed Documents,Upload Signed Documents related to the deliverables of the contract. Must be completed as part of promotional requirements.,89,2025-05-18,TRUE,2025-05-18,190,2025-04-27 08:56:04 UTC,2025-06-09 08:43:32 UTC
15,5,Tweet Brand Mention,Tweet Brand Mention related to the deliverables of the contract. Must be completed as part of promotional requirements.,89,2025-10-14,FALSE,,190,2025-10-02 22:02:11 UTC,2025-10-22 08:48:42 UTC
16,5,Join Zoom Training,Join Zoom Training related to the deliverables of the contract. Must be completed as part of promotional requirements.,89,2025-06-06,TRUE,2025-06-06,190,2025-05-07 15:43:53 UTC,2025-11-23 21:09:34 UTC
17,5,Upload Signed Documents,Upload Signed Documents related to the deliverables of the contract. Must be completed as part of promotional requirements.,89,2025-04-08,TRUE,2025-04-08,190,2025-04-03 23:58:05 UTC,2025-04-16 12:09:20 UTC
18,6,Upload Signed Documents,Upload Signed Documents related to the deliverables of the contract. Must be completed as part of promotional requirements.,48,2025-12-07,TRUE,2025-12-07,194,2025-11-07 09:01:29 UTC,2025-11-15 05:29:01 UTC
19,6,Publish TikTok Video,Publish TikTok Video related to the deliverables of the contract. Must be completed as part of promotional requirements.,48,2025-10-05,FALSE,,194,2025-09-25 22:23:58 UTC,2025-12-25 16:21:59 UTC
20,6,Tweet Brand Mention,Tweet Brand Mention related to the deliverables of the contract. Must be completed as part of promotional requirements.,48,2025-05-04,FALSE,,194,2025-04-17 01:30:17 UTC,2025-11-10 10:55:55 UTC
21,6,Send Brand Content,Send Brand Content related to the deliverables of the contract. Must be completed as part of promotional requirements.,48,2025-11-24,FALSE,,194,2025-10-29 12:23:21 UTC,2025-11-15 14:48:23 UTC
22,7,Post Instagram Story,Post Instagram Story related to the deliverables of the contract. Must be completed as part of promotional requirements.,63,2026-01-04,FALSE,,198,2025-12-10 03:31:34 UTC,2025-12-25 13:45:26 UTC
23,7,Review Product Brief,Review Product Brief related to the deliverables of the contract. Must be completed as part of promotional requirements.,63,2025-09-06,TRUE,2025-09-06,198,2025-08-16 00:39:04 UTC,2025-11-12 12:20:56 UTC
24,8,Upload Signed Documents,Upload Signed Documents related to the deliverables of the contract. Must be completed as part of promotional requirements.,96,2025-07-16,FALSE,,109,2025-07-03 13:39:37 UTC,2025-08-24 14:17:40 UTC
25,8,Create Unboxing Video,Create Unboxing Video related to the deliverables of the contract. Must be completed as part of promotional requirements.,96,2025-11-16,TRUE,2025-11-16,109,2025-11-05 00:48:04 UTC,2025-12-10 05:07:37 UTC
